Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
TAS2R14,3,0.436197217920959,-0.0956407340126934,0.968035169854612,0.107944181447465,2.40093091424972,0.662459041145995,2.58406428722469,0.107944181447465,FALSE,3973
CDKN2AIPNL,-3,-0.326237948449089,-0.724012810989855,0.0715369140916758,0.107949392470329,2.9667597326667,0.81300713404841,2.58398785517782,0.10794939247033,FALSE,3974
RPL21,-3,-0.313986340619993,-0.696831846904664,0.0688591656646781,0.107957458467616,5.50786741959867,0.480506330492561,2.58386955612751,0.107957458467616,FALSE,3975
PRAF2,2,0.579157139885923,-0.127148424272025,1.28546270404387,0.108025147379572,8.82335111147836,0.116320946399791,2.58287718653884,0.108025147379573,FALSE,3976
FGFR2,-5,-0.815678062799072,-1.81051380784239,0.179157682244244,0.108054680390459,24.8972716478113,0.0003567362225703,2.58244442464577,0.10805468039046,FALSE,3977
DHX35,3,0.269867098896112,-0.0592837192479206,0.599017917040145,0.108064745474841,4.99035716650715,0.545050479546217,2.58229696563433,0.108064745474842,FALSE,3978
XPO1,3,0.255517659014717,-0.0561620575292913,0.567197375558726,0.10809934619664,3.6321278798078,0.726315689234198,2.58179016108037,0.108099346196641,FALSE,3979
PTPRE,3,0.524943218431864,-0.115488386540881,1.16537482340461,0.108158463266191,14.4455230347197,0.0250366402859704,2.58092467211313,0.108158463266191,FALSE,3980
GCKR,1,0.798083960284862,-0.176312703702793,1.77248062427252,0.108423994507378,7.50957952231415,0.111287617483765,2.57704362391211,0.108423994507378,FALSE,3981
GSDMC,2,1.93166846175143,-0.427332881732898,4.29066980523576,0.108512141227645,17.3025962299502,0.000612351636246155,2.57575756444333,0.108512141227646,FALSE,3982
RASGRP3,3,0.342879332106124,-0.0758550123965772,0.761613676608825,0.108513504689184,3.92366119517937,0.687006483674656,2.57573768057086,0.108513504689184,FALSE,3983
IBA57,-3,-0.326484495249003,-0.725228382627596,0.0722593921295896,0.108541325318214,6.22790806086596,0.398150123979451,2.57533202179089,0.108541325318214,FALSE,3984
MAML2,5,0.410766879207141,-0.0909317962576852,0.912465554671967,0.108554389277879,11.1783106626157,0.0830194008166422,2.5751415726953,0.108554389277879,FALSE,3985
ZBTB12,-2,-0.526291780726567,-1.16910919209751,0.116525630644379,0.108565378689992,9.56073406053481,0.088682511217037,2.57498138627704,0.108565378689992,FALSE,3986
YIF1B,3,0.5374021964712,-0.119001682595724,1.19380607553812,0.108574049613843,12.627302798549,0.0493513273807096,2.57485500771586,0.108574049613843,FALSE,3987
ESRRG,-3,-1.14509061890887,-2.54375173474312,0.253570496925373,0.108574816631944,33.690421859778,7.71956547203301e-06,2.57484382897439,0.108574816631944,FALSE,3988
B4GALT4,3,0.376844950971181,-0.0835068578314533,0.837196759773815,0.108619169155643,7.67759303073336,0.262687823332837,2.57419757008899,0.108619169155643,FALSE,3989
CXCL9,5,0.985751733877951,-0.218469243004724,2.18997271076063,0.108628515767924,22.3993903379031,0.00102473223897548,2.57406141794821,0.108628515767924,FALSE,3990
CCDC9,-3,-0.443124891247623,-0.984463659532528,0.0982138770372821,0.108632052580367,13.9379135746442,0.0303374453478612,2.57400990054248,0.108632052580367,FALSE,3991
UVRAG,5,0.264396507855491,-0.0586882347130683,0.587481250424051,0.108727898917169,4.27417743347807,0.639626658201396,2.57261449861913,0.108727898917169,FALSE,3992
PLOD2,3,0.463335015414549,-0.103006562388025,1.02967659321712,0.108827727998778,12.0511564675444,0.0608372485906098,2.57116254897058,0.108827727998778,FALSE,3993
H3C15,4,0.945155463859231,-0.210222548081645,2.10053347580011,0.108858294542967,8.82875511634883,0.0316564898180731,2.57071827088184,0.108858294542967,FALSE,3994
SERINC5,3,0.348077862149735,-0.0774518645827399,0.773607588882209,0.108884895860224,9.82481926893298,0.132225761639564,2.5703317380359,0.108884895860224,FALSE,3995
RNF2,1,0.331882799128432,-0.0738538130565197,0.737619411313383,0.108889745722148,8.09186016492039,0.23145037234306,2.57026127786103,0.108889745722148,FALSE,3996
SPDYC,-1,-1.24597218520668,-2.76921865563159,0.277274285218226,0.108891683860547,0,1,2.57023312099883,0.108891683860547,FALSE,3997
PRPS2,-3,-0.411891368795875,-0.915524950734625,0.0917422131428743,0.108948850798717,9.34915716499667,0.154872896145873,2.56940285944414,0.108948850798716,FALSE,3998
RASD1,-3,-0.444135489975741,-0.987438239116607,0.0991672591651252,0.109107362008988,2.79356651344455,0.834274575498384,2.56710323015573,0.109107362008988,FALSE,3999
FAM72A,2,0.510568645863957,-0.114228811346618,1.13536610307453,0.10923681313978,0.946263622557589,0.814251372061312,2.56522791674921,0.10923681313978,FALSE,4000
EEF1AKMT3,-3,-0.460681078138774,-1.02476957881167,0.103407422534121,0.109450507965265,12.6288424833763,0.0493235408157088,2.56213753157081,0.109450507965265,FALSE,4001
PIP4K2B,1,0.26516627701015,-0.0595344579245528,0.589867011944853,0.109465298929612,6.87734949459909,0.332339030124443,2.56192387488502,0.109465298929612,FALSE,4002
DACT1,1,0.665410472919762,-0.149399527910739,1.48022047375026,0.109466718810852,18.6546140756607,0.00478849739626377,2.56190336625403,0.109466718810853,FALSE,4003
TMEM80,-3,-0.330058710654048,-0.734346240264492,0.0742288189563957,0.109574914469302,7.78220896638126,0.254497445285824,2.56034145779297,0.109574914469302,FALSE,4004
FRMD4B,5,0.345864979420308,-0.0778253633554409,0.769555322196056,0.109609917189867,8.47362864491108,0.205415657529027,2.5598365227359,0.109609917189867,FALSE,4005
POLR2K,3,0.318592267256619,-0.0717925619913618,0.7089770965046,0.109704523959606,3.56912077410123,0.734751924270292,2.55847265031571,0.109704523959605,FALSE,4006
SGPL1,5,0.266996116049166,-0.0601777543629008,0.594169986461233,0.10971757953128,4.43298632659189,0.618294609424064,2.55828453979446,0.10971757953128,FALSE,4007
PDCD6,1,0.30475843585861,-0.06893672405056,0.67845359576778,0.109953261712372,7.25229711318942,0.298143920190584,2.55489295097543,0.109953261712372,FALSE,4008
RPS14,-3,-0.30287912373856,-0.674304041115866,0.0685457936387469,0.10998597257435,3.37354223309513,0.760711193650432,2.55442285643039,0.10998597257435,FALSE,4009
